epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,11050.1,1.17714,1.28783,0.00929,0.6043,0.5658,0.58555,0.39841,1.17236,1.36457,0.01417,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,11321.4,1.18831,1.29454,0.00929,0.65802,0.55137,0.59313,0.41208,1.12937,1.38225,0.0136,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,11592.4,1.17887,1.2715,0.00914,0.60652,0.57225,0.60824,0.41209,1.149,1.35904,0.01383,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,11859.8,1.16721,1.26084,0.00905,0.58004,0.60214,0.60789,0.41371,1.13756,1.3593,0.01366,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,12126.8,1.1586,1.23672,0.009,0.62367,0.5458,0.60775,0.42137,1.12778,1.36714,0.01362,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,12391.7,1.16088,1.23098,0.00898,0.57926,0.60214,0.60552,0.42212,1.12617,1.38613,0.01354,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,12656.8,1.14744,1.22072,0.00874,0.6061,0.58328,0.60377,0.42026,1.12219,1.37083,0.01357,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,12924.1,1.14371,1.20954,0.00885,0.64275,0.56255,0.60291,0.41575,1.13471,1.38462,0.01378,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,13188.9,1.14131,1.2027,0.00876,0.62044,0.57529,0.59969,0.41769,1.12782,1.38302,0.01353,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,13453.3,1.12917,1.18724,0.00872,0.59071,0.58364,0.59779,0.42079,1.12529,1.36949,0.01359,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,13719.2,1.13317,1.17892,0.00869,0.6375,0.58716,0.61332,0.42822,1.11311,1.40306,0.01337,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,13983.8,1.12876,1.17169,0.0086,0.61366,0.59343,0.6099,0.43105,1.12287,1.38176,0.01337,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,14248.8,1.12271,1.14978,0.00857,0.61058,0.56896,0.59433,0.41613,1.1246,1.4526,0.01364,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,14520.1,1.11255,1.1581,0.00851,0.59033,0.59577,0.60662,0.42641,1.1192,1.3874,0.01334,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,14792.5,1.11003,1.13932,0.00859,0.58008,0.6099,0.60445,0.42243,1.1217,1.38951,0.01349,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,15061.6,1.105,1.1158,0.00847,0.60779,0.60063,0.59539,0.41724,1.11494,1.42393,0.01331,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,15332,1.10011,1.10459,0.00843,0.60746,0.59463,0.60731,0.42166,1.15194,1.39681,0.01372,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,15598.7,1.09168,1.1101,0.00824,0.6116,0.58844,0.59906,0.42253,1.1363,1.40745,0.01372,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
